variant,mean,std,count
dense,0.5296666666666666,0.004178915329763604,3
dfa,0.5331333333333333,0.0023692474191889024,3
ep,0.5593,0.0018999999999999486,3
random,0.1014,0.007562407024221857,3
readout,0.4561,0.0020000000000000018,3
rmhebb,0.26276666666666665,0.06279309940856027,3
