epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,0,32020365312,0.56703,0.8469,0.5034,0.9
1,936,50,75889639424,0.23131,0.9364,0.2032,1.7
2,1404,150,131607822336,0.19159,0.9449,0.1755,2.46
3,1872,200,175477096448,0.13385,0.9611,0.1281,3.25
4,2340,250,219346370560,0.1335,0.9616,0.1229,4.02
5,2808,250,251366735872,0.09863,0.9672,0.109,4.8
6,3276,300,295236009984,0.10919,0.9671,0.1067,5.61
7,3744,300,327256375296,0.08608,0.9687,0.0992,6.42
8,4212,300,359276740608,0.08267,0.9707,0.0935,7.19
9,4680,300,391297105920,0.07687,0.9711,0.095,7.97
10,5148,350,435166380032,0.09013,0.967,0.1006,8.75
11,5616,350,467186745344,0.07565,0.9698,0.0932,9.55
12,6084,350,499207110656,0.07284,0.9697,0.0925,10.34
13,6552,350,531227475968,0.06976,0.9706,0.092,11.11
14,7020,400,575096750080,0.09839,0.9681,0.1068,11.88
15,7488,400,607117115392,0.07459,0.9709,0.0937,12.68
16,7956,400,639137480704,0.06908,0.9719,0.0881,13.45
17,8424,400,671157846016,0.06515,0.9722,0.085,14.27
18,8892,400,703178211328,0.06088,0.9729,0.0836,15.08
19,9360,450,747047485440,0.07735,0.9705,0.0946,15.88
