epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,0,32020365312,0.53206,0.8614,0.4815,0.9
1,936,50,74179149824,0.32892,0.9315,0.2205,1.69
2,1404,100,116337934336,0.19715,0.9492,0.1599,2.49
3,1872,150,158496718848,0.1472,0.9569,0.1379,3.29
4,2340,200,200655503360,0.11949,0.9602,0.1266,4.1
5,2808,250,242814287872,0.11279,0.9632,0.1251,4.92
6,3276,250,274834653184,0.10164,0.9667,0.1097,5.73
7,3744,300,316993437696,0.11522,0.9631,0.1191,6.51
8,4212,300,349013803008,0.09598,0.9693,0.1029,7.33
9,4680,300,381034168320,0.08689,0.9707,0.0977,8.12
10,5148,300,413054533632,0.08376,0.9701,0.0974,8.92
11,5616,350,455213318144,0.10214,0.9672,0.1024,9.72
12,6084,350,487233683456,0.09085,0.9707,0.0963,10.51
13,6552,350,519254048768,0.07412,0.9711,0.0942,11.31
14,7020,350,551274414080,0.08121,0.9715,0.0917,12.14
15,7488,350,583294779392,0.07154,0.9723,0.0885,12.94
16,7956,400,625453563904,0.09437,0.9695,0.1013,13.74
17,8424,400,657473929216,0.08173,0.9717,0.0958,14.55
18,8892,400,689494294528,0.0655,0.9731,0.0927,15.34
19,9360,400,721514659840,0.07229,0.974,0.0908,16.15
