epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,94,54296313856,0.84858,0.7119,0.8175,0.91
1,936,188,108592627712,0.64663,0.7795,0.6237,1.71
2,1404,281,162651963392,0.43073,0.8972,0.3475,2.48
3,1872,375,216948277248,0.31391,0.9214,0.2663,3.3
4,2340,468,271007612928,0.17947,0.9385,0.2094,4.1
5,2808,562,325303926784,0.14511,0.949,0.1603,4.87
6,3276,656,379600240640,0.13459,0.9554,0.1512,5.67
7,3744,749,433659576320,0.12188,0.9596,0.1248,6.49
8,4212,843,487955890176,0.10822,0.9661,0.1085,7.28
9,4680,936,542015225856,0.09803,0.967,0.1043,8.1
10,5148,1030,596311539712,0.08935,0.9662,0.1042,8.89
11,5616,1124,650607853568,0.07918,0.9685,0.1018,9.7
12,6084,1217,704667189248,0.09401,0.9662,0.1149,10.54
13,6552,1311,758963503104,0.07355,0.9651,0.1206,11.32
14,7020,1404,813022838784,0.07171,0.9736,0.096,12.13
15,7488,1498,867319152640,0.05985,0.9739,0.0971,12.91
16,7956,1592,921615466496,0.06105,0.9723,0.0903,13.73
17,8424,1685,975674802176,0.06671,0.9725,0.091,14.53
18,8892,1779,1029971116032,0.04701,0.9777,0.0763,15.3
19,9360,1872,1084030451712,0.05261,0.9728,0.0962,16.08
