epoch,step,test_acc,test_loss,wall_s
0,390,0.1038,2.5044,2.14
1,780,0.1339,2.4111,3.85
2,1170,0.135,2.4404,5.81
3,1560,0.1731,2.278,8.08
4,1950,0.1897,2.504,9.99
5,2340,0.1593,2.2967,11.78
6,2730,0.1831,2.2146,13.57
7,3120,0.1609,2.2171,15.36
8,3510,0.1627,2.7709,17.06
9,3900,0.156,2.3217,18.88
10,4290,0.1841,2.5297,20.67
11,4680,0.1111,2.6206,23.05
12,5070,0.1621,2.5869,25.24
13,5460,0.1773,2.1841,27.03
14,5850,0.1828,2.2631,28.8
15,6240,0.1492,2.2397,30.38
16,6630,0.1861,2.247,31.41
17,7020,0.1871,2.3836,32.45
18,7410,0.1608,2.2743,33.48
19,7800,0.1702,2.2279,34.51
20,8190,0.1607,2.4326,35.53
21,8580,0.1926,2.3585,36.56
22,8970,0.1446,2.5569,37.59
23,9360,0.1904,2.2607,38.61
24,9750,0.1747,2.4166,39.65
25,10140,0.1779,2.231,40.64
26,10530,0.1716,2.1986,41.66
27,10920,0.1953,2.5844,42.73
28,11310,0.1986,2.213,43.76
29,11700,0.2077,2.22,44.77
30,12090,0.2052,2.4492,45.82
31,12480,0.1697,3.063,46.87
32,12870,0.1751,2.5149,47.98
33,13260,0.1705,2.3972,50.36
34,13650,0.1763,2.3923,52.67
35,14040,0.1658,2.3466,55.0
36,14430,0.2267,2.5078,57.31
37,14820,0.1125,2.6806,59.62
38,15210,0.1741,2.3959,61.94
39,15600,0.1396,3.7662,64.27
