epoch,step,test_acc,test_loss,wall_s
0,390,0.3458,1.8723,0.79
1,780,0.3141,1.8732,1.32
2,1170,0.3153,1.8786,1.87
3,1560,0.325,1.9821,2.41
4,1950,0.3335,1.8756,2.95
5,2340,0.3057,1.9445,3.54
6,2730,0.3347,1.9845,4.08
7,3120,0.3279,1.8889,4.62
8,3510,0.3378,1.873,5.15
9,3900,0.324,1.8658,5.68
10,4290,0.341,1.8286,6.23
11,4680,0.3278,1.8621,6.77
12,5070,0.3484,1.8359,7.32
13,5460,0.3449,1.832,7.85
14,5850,0.3676,1.789,8.43
15,6240,0.3592,1.8501,8.98
16,6630,0.3742,1.866,9.52
17,7020,0.3697,1.8064,10.03
18,7410,0.3827,1.831,10.6
19,7800,0.3972,1.8169,11.14
20,8190,0.4109,1.7883,11.69
21,8580,0.4379,1.8004,12.24
22,8970,0.4371,1.8164,12.8
23,9360,0.4528,1.8267,13.36
24,9750,0.4722,1.8493,13.9
25,10140,0.4773,1.8524,14.45
26,10530,0.4886,1.8983,15.01
27,10920,0.492,1.9015,15.58
28,11310,0.5036,1.9367,16.13
29,11700,0.517,1.985,16.68
30,12090,0.5134,2.0262,17.25
31,12480,0.5234,2.0552,17.81
32,12870,0.5233,2.1055,18.38
33,13260,0.5245,2.1705,18.94
34,13650,0.5262,2.1955,19.46
35,14040,0.529,2.2344,20.0
36,14430,0.5277,2.258,20.53
37,14820,0.5272,2.2748,21.07
38,15210,0.5298,2.2833,21.64
39,15600,0.5291,2.2836,22.18
