epoch,step,test_acc,test_loss,wall_s
0,390,0.4652,1.5175,1.06
1,780,0.4916,1.4355,1.87
2,1170,0.5028,1.4234,2.64
3,1560,0.5193,1.364,3.43
4,1950,0.5276,1.345,4.19
5,2340,0.5335,1.3425,4.98
6,2730,0.5325,1.354,5.74
7,3120,0.5412,1.3312,6.52
8,3510,0.5356,1.3587,7.29
9,3900,0.5424,1.3441,8.08
10,4290,0.5401,1.3554,8.87
11,4680,0.5348,1.3761,9.66
12,5070,0.5414,1.3672,10.48
13,5460,0.5494,1.3582,11.27
14,5850,0.5417,1.3837,12.07
15,6240,0.5495,1.3659,12.86
16,6630,0.5498,1.3688,13.66
17,7020,0.5497,1.3797,14.46
18,7410,0.5467,1.4066,15.23
19,7800,0.5468,1.4229,16.0
20,8190,0.5551,1.396,16.78
21,8580,0.5489,1.4259,17.55
22,8970,0.5439,1.4314,18.34
23,9360,0.5417,1.4571,19.11
24,9750,0.5442,1.4734,19.94
25,10140,0.5531,1.4354,20.7
26,10530,0.5441,1.4667,21.47
27,10920,0.554,1.4481,22.24
28,11310,0.5536,1.4563,23.06
29,11700,0.551,1.46,23.85
30,12090,0.5511,1.458,24.65
31,12480,0.5545,1.4466,25.47
32,12870,0.5594,1.4548,26.27
33,13260,0.5535,1.4552,27.06
34,13650,0.5571,1.4566,27.88
35,14040,0.5567,1.4647,28.67
36,14430,0.5587,1.4538,29.47
37,14820,0.5586,1.455,30.25
38,15210,0.5618,1.4525,31.03
39,15600,0.5609,1.4523,31.82
