epoch,step,test_acc,test_loss,wall_s
0,390,0.1177,73.258,1.14
1,780,0.1588,106.6539,2.0
2,1170,0.0896,93.3071,2.89
3,1560,0.1724,88.8033,3.79
4,1950,0.117,46.0113,4.71
5,2340,0.1547,57.0289,5.59
6,2730,0.1672,54.8611,6.47
7,3120,0.1516,22.7006,7.37
8,3510,0.1952,36.3231,8.29
9,3900,0.2186,24.8578,9.16
10,4290,0.2088,33.5531,10.06
11,4680,0.2058,30.8841,10.96
12,5070,0.1845,15.6361,11.86
13,5460,0.2419,11.9835,12.74
14,5850,0.1801,22.2959,13.66
15,6240,0.1815,20.9437,14.55
16,6630,0.2487,12.3732,15.42
17,7020,0.2629,10.1068,16.33
18,7410,0.2175,18.4957,17.24
19,7800,0.2955,9.9074,18.13
20,8190,0.2177,12.9606,19.0
21,8580,0.2601,15.597,19.88
22,8970,0.2376,11.3519,20.8
23,9360,0.2121,16.0532,21.71
24,9750,0.2536,12.2722,22.62
25,10140,0.2263,10.7222,23.52
26,10530,0.2155,8.7329,24.44
27,10920,0.2457,10.2935,25.32
28,11310,0.2332,12.636,26.26
29,11700,0.2273,10.1599,27.15
30,12090,0.2823,5.1298,28.07
31,12480,0.2601,5.6301,28.97
32,12870,0.3009,5.3198,29.85
33,13260,0.2648,5.6069,30.75
34,13650,0.2707,4.7297,31.64
35,14040,0.2891,4.0598,32.55
36,14430,0.2733,5.092,33.44
37,14820,0.2667,4.3342,34.35
38,15210,0.3015,4.2125,35.25
39,15600,0.3125,4.0251,36.16
