epoch,step,test_acc,test_loss,wall_s
0,390,0.1323,3.1718,2.09
1,780,0.1835,2.3074,3.9
2,1170,0.1839,2.2635,5.69
3,1560,0.1578,2.2732,7.48
4,1950,0.1874,2.2124,9.25
5,2340,0.2014,2.1658,11.08
6,2730,0.1897,2.4063,12.86
7,3120,0.1646,2.6717,14.7
8,3510,0.16,2.334,16.49
9,3900,0.1774,2.3114,18.32
10,4290,0.204,2.3593,20.08
11,4680,0.1269,2.7665,21.83
12,5070,0.1534,3.0019,23.62
13,5460,0.1963,2.8062,25.36
14,5850,0.1915,2.5192,27.14
15,6240,0.2038,2.6855,28.96
16,6630,0.1729,2.3056,30.79
17,7020,0.1843,2.9256,32.61
18,7410,0.1738,3.5862,34.39
19,7800,0.2026,2.1366,36.21
20,8190,0.2027,2.3113,37.93
21,8580,0.1638,3.6765,39.76
22,8970,0.174,2.2719,41.56
23,9360,0.1951,2.3439,43.37
24,9750,0.2041,2.7019,45.2
25,10140,0.2192,2.2556,47.01
26,10530,0.1508,2.9968,48.79
27,10920,0.2293,2.2858,50.55
28,11310,0.2156,2.3166,52.37
29,11700,0.1862,3.0649,54.14
30,12090,0.2209,2.2514,55.97
31,12480,0.2019,2.427,57.8
32,12870,0.2298,2.4828,59.65
33,13260,0.2368,2.4935,61.38
34,13650,0.239,2.259,63.19
35,14040,0.1993,2.562,64.99
36,14430,0.2099,2.5291,66.78
37,14820,0.2562,2.1873,68.58
38,15210,0.227,2.3395,70.36
39,15600,0.2185,2.2962,72.14
