epoch,step,test_acc,test_loss,wall_s
0,390,0.1997,2.8254,1.12
1,780,0.1901,2.6644,1.94
2,1170,0.2043,2.7099,2.76
3,1560,0.2241,2.1449,3.59
4,1950,0.1859,2.5905,4.38
5,2340,0.2407,2.3663,5.18
6,2730,0.2048,2.5472,6.01
7,3120,0.2423,2.3051,6.84
8,3510,0.2084,2.2234,7.68
9,3900,0.2158,2.396,8.57
10,4290,0.2356,2.2339,9.39
11,4680,0.2136,2.4545,10.26
12,5070,0.166,2.9895,11.09
13,5460,0.2154,3.4307,11.91
14,5850,0.2112,2.5236,12.73
15,6240,0.2537,2.2876,13.57
16,6630,0.2317,2.4717,14.41
17,7020,0.1864,2.5377,15.23
18,7410,0.2391,2.368,16.05
19,7800,0.2709,2.2165,16.86
20,8190,0.2487,2.9181,17.69
21,8580,0.2031,2.6671,18.54
22,8970,0.2425,2.3965,19.36
23,9360,0.2593,2.2692,20.19
24,9750,0.2494,2.1904,21.0
25,10140,0.26,2.2216,21.82
26,10530,0.2497,2.3457,22.67
27,10920,0.2364,2.2245,23.51
28,11310,0.2379,2.7809,24.3
29,11700,0.2523,2.5458,25.12
30,12090,0.2453,2.8319,25.96
31,12480,0.2499,2.2669,26.79
32,12870,0.2948,2.172,27.62
33,13260,0.2323,2.5144,28.41
34,13650,0.299,2.1402,29.21
35,14040,0.2649,2.5896,30.03
36,14430,0.2147,2.393,30.86
37,14820,0.2644,2.1747,31.69
38,15210,0.283,2.2407,32.55
39,15600,0.2969,1.9911,33.37
