epoch,step,test_acc,test_loss,wall_s
0,390,0.1702,2.3498,1.06
1,780,0.1851,2.1786,1.9
2,1170,0.2296,2.5015,2.72
3,1560,0.1959,3.2685,3.51
4,1950,0.1959,2.3275,4.34
5,2340,0.2069,2.76,5.14
6,2730,0.228,2.4225,5.97
7,3120,0.21,2.4887,6.8
8,3510,0.2135,2.9707,7.62
9,3900,0.2409,2.2801,8.45
10,4290,0.2479,2.3768,9.29
11,4680,0.2401,2.4352,10.09
12,5070,0.2119,2.5646,10.9
13,5460,0.2069,2.3718,11.72
14,5850,0.2464,2.1788,12.55
15,6240,0.2564,2.2397,13.37
16,6630,0.2155,2.75,14.15
17,7020,0.2104,3.7415,14.96
18,7410,0.2168,2.3637,15.78
19,7800,0.1914,2.9217,16.58
20,8190,0.1538,2.9962,17.37
21,8580,0.2174,2.7211,18.18
22,8970,0.2427,2.6051,18.96
23,9360,0.2813,2.1784,19.8
24,9750,0.2159,2.7424,20.61
25,10140,0.2421,2.8788,21.45
26,10530,0.2662,2.4091,22.27
27,10920,0.2781,2.5705,23.06
28,11310,0.2518,2.3255,23.86
29,11700,0.2622,2.2143,24.67
30,12090,0.2897,2.1777,25.51
31,12480,0.2501,2.5193,26.32
32,12870,0.2712,2.2164,27.11
33,13260,0.2413,2.4362,27.92
34,13650,0.2105,2.5522,28.72
35,14040,0.2602,2.2832,29.54
36,14430,0.2663,2.3088,30.32
37,14820,0.2949,2.0881,31.17
38,15210,0.2486,2.2658,31.99
39,15600,0.1903,2.8102,32.78
