epoch,step,test_acc,test_loss,wall_s
0,390,0.4593,1.5412,1.03
1,780,0.4946,1.445,1.82
2,1170,0.5131,1.3927,2.59
3,1560,0.5172,1.3773,3.42
4,1950,0.5227,1.3592,4.23
5,2340,0.5261,1.3542,5.05
6,2730,0.5405,1.3377,5.84
7,3120,0.5307,1.3531,6.63
8,3510,0.5452,1.3312,7.39
9,3900,0.535,1.371,8.21
10,4290,0.5448,1.3403,9.02
11,4680,0.5351,1.3611,9.81
12,5070,0.543,1.356,10.63
13,5460,0.5381,1.3558,11.44
14,5850,0.547,1.3757,12.24
15,6240,0.5471,1.3808,13.06
16,6630,0.5411,1.4329,13.85
17,7020,0.5412,1.4091,14.63
18,7410,0.5447,1.4325,15.42
19,7800,0.5474,1.4184,16.23
20,8190,0.5468,1.4087,17.03
21,8580,0.5459,1.4354,17.84
22,8970,0.5491,1.4667,18.61
23,9360,0.5477,1.445,19.4
24,9750,0.542,1.4642,20.2
25,10140,0.5484,1.4906,20.96
26,10530,0.5526,1.4473,21.75
27,10920,0.5552,1.4557,22.57
28,11310,0.5528,1.4662,23.37
29,11700,0.5569,1.4456,24.17
30,12090,0.5568,1.453,24.97
31,12480,0.5543,1.4608,25.76
32,12870,0.5549,1.4612,26.58
33,13260,0.5547,1.4589,27.41
34,13650,0.5558,1.4591,28.25
35,14040,0.5575,1.4564,29.11
36,14430,0.5604,1.4536,29.89
37,14820,0.5592,1.4544,30.68
38,15210,0.5605,1.4547,31.48
39,15600,0.5598,1.4541,32.27
