epoch,step,test_acc,test_loss,wall_s
0,390,0.4654,1.5344,2.36
1,780,0.4955,1.4399,4.62
2,1170,0.5141,1.3946,6.83
3,1560,0.5081,1.4065,9.16
4,1950,0.5321,1.3607,11.5
5,2340,0.5261,1.388,13.79
6,2730,0.5307,1.3768,16.04
7,3120,0.5349,1.3925,18.37
8,3510,0.5294,1.3996,20.62
9,3900,0.5332,1.4383,22.65
10,4290,0.5277,1.4798,24.98
11,4680,0.5395,1.4821,27.3
12,5070,0.5362,1.5543,29.57
13,5460,0.5426,1.509,31.91
14,5850,0.535,1.6346,34.23
15,6240,0.5327,1.7043,36.57
16,6630,0.5293,1.7726,38.84
17,7020,0.5244,1.8447,41.02
18,7410,0.5408,1.8435,43.37
19,7800,0.5428,1.9133,45.69
20,8190,0.5365,2.0634,47.98
21,8580,0.534,2.1149,50.24
22,8970,0.5443,2.1703,52.49
23,9360,0.5478,2.2904,54.89
24,9750,0.5523,2.2443,57.27
25,10140,0.5559,2.4307,59.61
26,10530,0.5524,2.5116,61.63
27,10920,0.556,2.5528,63.86
28,11310,0.5606,2.6156,66.07
29,11700,0.5609,2.6987,68.33
30,12090,0.5637,2.7328,70.65
31,12480,0.5637,2.7484,72.86
32,12870,0.5655,2.7812,75.13
33,13260,0.564,2.7917,77.38
34,13650,0.5622,2.8002,79.65
35,14040,0.5613,2.8196,81.61
36,14430,0.5605,2.8262,83.9
37,14820,0.5628,2.834,86.17
38,15210,0.562,2.8322,88.37
39,15600,0.5625,2.8347,90.62
