epoch,step,test_acc,test_loss,wall_s
0,390,0.3315,1.8517,0.73
1,780,0.3087,1.8816,1.26
2,1170,0.3259,1.8895,1.79
3,1560,0.3054,1.9024,2.32
4,1950,0.3274,1.901,2.84
5,2340,0.3254,2.0039,3.39
6,2730,0.3396,1.8499,3.91
7,3120,0.318,1.8764,4.45
8,3510,0.331,1.8631,4.97
9,3900,0.3088,1.9576,5.54
10,4290,0.3289,1.9219,6.09
11,4680,0.3426,1.873,6.62
12,5070,0.3471,1.8937,7.15
13,5460,0.3535,1.882,7.68
14,5850,0.3385,1.837,8.2
15,6240,0.3575,1.8247,8.73
16,6630,0.3694,1.8225,9.27
17,7020,0.3741,1.8179,9.81
18,7410,0.382,1.8278,10.33
19,7800,0.4049,1.7834,10.86
20,8190,0.3958,1.8162,11.4
21,8580,0.4017,1.8261,11.93
22,8970,0.4463,1.7836,12.46
23,9360,0.4391,1.8266,12.98
24,9750,0.4654,1.8207,13.51
25,10140,0.4724,1.8457,14.08
26,10530,0.4873,1.8771,14.63
27,10920,0.4914,1.8779,15.16
28,11310,0.505,1.8854,15.73
29,11700,0.4967,1.9088,16.27
30,12090,0.5159,1.9906,16.81
31,12480,0.5132,2.0334,17.35
32,12870,0.5212,2.0545,17.88
33,13260,0.5282,2.1052,18.44
34,13650,0.5306,2.1262,19.02
35,14040,0.531,2.1694,19.56
36,14430,0.5314,2.1754,20.1
37,14820,0.5329,2.1899,20.65
38,15210,0.5327,2.1974,21.16
39,15600,0.5341,2.2008,21.68
