epoch,step,test_acc,test_loss,wall_s
0,390,0.4557,1.5438,1.18
1,780,0.4908,1.4273,2.13
2,1170,0.5095,1.3944,3.12
3,1560,0.5191,1.3737,4.03
4,1950,0.5333,1.3451,4.98
5,2340,0.5202,1.3818,5.93
6,2730,0.5314,1.3793,6.87
7,3120,0.5304,1.3884,7.83
8,3510,0.5332,1.3886,8.78
9,3900,0.5233,1.4797,9.72
10,4290,0.5255,1.4538,10.67
11,4680,0.5388,1.5013,11.61
12,5070,0.5336,1.5388,12.53
13,5460,0.5418,1.5711,13.47
14,5850,0.5282,1.6741,14.43
15,6240,0.5321,1.7702,15.42
16,6630,0.5353,1.7809,16.39
17,7020,0.5421,1.8121,17.33
18,7410,0.534,1.9127,18.29
19,7800,0.5424,1.9129,19.22
20,8190,0.5399,2.0208,20.19
21,8580,0.5428,2.1319,21.12
22,8970,0.5421,2.2046,22.07
23,9360,0.5516,2.2771,23.01
24,9750,0.5542,2.352,24.0
25,10140,0.5583,2.4677,24.96
26,10530,0.5597,2.4541,25.93
27,10920,0.5617,2.5257,26.88
28,11310,0.557,2.6192,27.83
29,11700,0.565,2.6585,28.79
30,12090,0.5657,2.6922,29.72
31,12480,0.5629,2.7365,30.69
32,12870,0.5644,2.7587,31.68
33,13260,0.5632,2.7744,32.61
34,13650,0.5659,2.7981,33.56
35,14040,0.5627,2.7953,34.5
36,14430,0.5631,2.8042,35.42
37,14820,0.5637,2.8085,36.39
38,15210,0.5635,2.811,37.35
39,15600,0.563,2.809,38.3
