epoch,step,test_acc,test_loss,wall_s
0,390,0.3673,1.7558,0.95
1,780,0.4292,1.6399,1.7
2,1170,0.4414,1.5855,2.43
3,1560,0.4129,1.7077,3.16
4,1950,0.4561,1.5536,3.9
5,2340,0.4442,1.5729,4.64
6,2730,0.4624,1.5338,5.36
7,3120,0.4679,1.5294,6.07
8,3510,0.4834,1.5034,6.78
9,3900,0.5058,1.4236,7.53
10,4290,0.501,1.432,8.25
11,4680,0.4858,1.4879,8.95
12,5070,0.4972,1.451,9.64
13,5460,0.5152,1.3945,10.37
14,5850,0.5149,1.3976,11.12
15,6240,0.5119,1.4031,11.84
16,6630,0.5117,1.4088,12.57
17,7020,0.5117,1.4078,13.28
18,7410,0.5172,1.393,14.02
19,7800,0.517,1.394,14.75
20,8190,0.5231,1.3809,15.51
21,8580,0.5178,1.3942,16.25
22,8970,0.5259,1.3799,17.02
23,9360,0.5254,1.378,17.75
24,9750,0.5256,1.3764,18.51
25,10140,0.5227,1.388,19.27
26,10530,0.5181,1.3957,19.99
27,10920,0.5267,1.3731,20.72
28,11310,0.5266,1.3771,21.46
29,11700,0.5289,1.3825,22.19
30,12090,0.5291,1.3704,22.93
31,12480,0.527,1.3786,23.7
32,12870,0.5298,1.3696,24.43
33,13260,0.5322,1.3699,25.18
34,13650,0.5325,1.3658,25.88
35,14040,0.5313,1.3663,26.6
36,14430,0.53,1.3656,27.3
37,14820,0.531,1.365,28.03
38,15210,0.5327,1.3663,28.76
39,15600,0.5304,1.3654,29.45
