epoch,step,test_acc,test_loss,wall_s
0,390,0.4168,1.672,0.7
1,780,0.4142,1.6455,1.23
2,1170,0.4336,1.611,1.75
3,1560,0.4371,1.5969,2.26
4,1950,0.4434,1.5929,2.76
5,2340,0.4326,1.6102,3.26
6,2730,0.444,1.573,3.76
7,3120,0.4462,1.5661,4.29
8,3510,0.4335,1.6028,4.83
9,3900,0.4405,1.5749,5.35
10,4290,0.4387,1.5753,5.86
11,4680,0.4387,1.5895,6.39
12,5070,0.4391,1.5839,6.91
13,5460,0.4465,1.5602,7.43
14,5850,0.4457,1.5664,7.94
15,6240,0.4463,1.5618,8.45
16,6630,0.4481,1.5612,8.94
17,7020,0.4505,1.5558,9.45
18,7410,0.4482,1.5591,9.96
19,7800,0.4472,1.5556,10.49
20,8190,0.4482,1.5553,11.01
21,8580,0.4516,1.5514,11.56
22,8970,0.4485,1.5579,12.1
23,9360,0.4513,1.5504,12.61
24,9750,0.4536,1.5541,13.13
25,10140,0.4512,1.5541,13.62
26,10530,0.4534,1.5514,14.13
27,10920,0.4521,1.5513,14.64
28,11310,0.4493,1.5519,15.18
29,11700,0.4485,1.5513,15.71
30,12090,0.4519,1.5494,16.23
31,12480,0.4527,1.5481,16.77
32,12870,0.4547,1.5487,17.26
33,13260,0.4538,1.5482,17.77
34,13650,0.4517,1.5461,18.29
35,14040,0.4541,1.5465,18.81
36,14430,0.4533,1.546,19.31
37,14820,0.4548,1.5461,19.84
38,15210,0.4538,1.5459,20.35
39,15600,0.4541,1.5459,20.88
