step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,1,14989897236480,2.60947,2.61822,6.3
500,100,58391003136000,2.45697,2.42449,15.12
750,150,87586504704000,2.34341,2.25479,22.63
1000,150,102286491648000,2.19246,2.12277,28.79
1250,200,131481993216000,2.0857,2.03957,36.31
1500,200,146181980160000,2.00451,1.98317,42.47
1750,200,160881967104000,1.94843,1.9398,48.64
2000,200,175581954048000,1.90228,1.90763,54.82
2250,250,204777455616000,1.8466,1.86828,62.35
2500,250,219477442560000,1.82047,1.84843,68.52
2750,250,234177429504000,1.80089,1.83374,74.69
3000,250,248877416448000,1.78136,1.8224,80.87
3250,250,263577403392000,1.76873,1.81144,87.04
3500,250,278277390336000,1.75493,1.80466,93.21
3750,256,294716839034880,1.74638,1.80156,99.55
4000,300,322172878848000,1.73894,1.79184,106.91
4250,300,336872865792000,1.73272,1.79093,113.08
4500,300,351572852736000,1.73236,1.7885,119.25
4750,300,366272839680000,1.73308,1.78868,125.42
5000,300,380972826624000,1.73347,1.78862,131.6
