step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,1,14989897236480,2.61012,2.60069,6.32
500,100,58391003136000,2.44858,2.41292,15.18
750,150,87586504704000,2.32675,2.24209,22.69
1000,150,102286491648000,2.15824,2.11462,28.85
1250,200,131481993216000,2.04064,2.01376,36.36
1500,200,146181980160000,1.95215,1.95721,42.54
1750,200,160881967104000,1.88986,1.90879,48.7
2000,200,175581954048000,1.84437,1.87544,54.89
2250,250,204777455616000,1.79277,1.84086,62.41
2500,250,219477442560000,1.76505,1.8229,68.58
2750,250,234177429504000,1.75079,1.80812,74.75
3000,250,248877416448000,1.73199,1.7969,80.92
3250,250,263577403392000,1.72189,1.7841,87.11
3500,250,278277390336000,1.7114,1.78274,93.3
3750,256,294716839034880,1.70972,1.77732,99.63
4000,300,322172878848000,1.703,1.77074,107.02
4250,300,336872865792000,1.69988,1.76834,113.2
4500,300,351572852736000,1.69441,1.76847,119.38
4750,300,366272839680000,1.69577,1.76771,125.55
5000,300,380972826624000,1.69863,1.76776,131.72
