step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.61012,2.51206,6.3
500,52,44475309096960,2.47301,2.44886,13.85
750,100,73090990080000,2.31766,2.22845,21.3
1000,150,102286491648000,2.12949,2.09266,28.81
1250,150,116986478592000,2.03832,2.01817,34.97
1500,200,146181980160000,1.94553,1.94652,42.49
1750,200,160881967104000,1.88138,1.895,48.67
2000,200,175581954048000,1.83566,1.86217,54.83
2250,250,204777455616000,1.79607,1.83961,62.35
2500,250,219477442560000,1.76079,1.81681,68.53
2750,250,234177429504000,1.74623,1.8012,74.7
3000,250,248877416448000,1.72814,1.7918,80.87
3250,250,263577403392000,1.71779,1.78059,87.04
3500,250,278277390336000,1.70773,1.77885,93.2
3750,250,292977377280000,1.70611,1.7717,99.39
4000,300,322172878848000,1.70111,1.76715,106.91
4250,300,336872865792000,1.69817,1.76472,113.08
4500,300,351572852736000,1.69276,1.76503,119.27
4750,300,366272839680000,1.69392,1.76449,125.45
5000,300,380972826624000,1.69644,1.76445,131.61
