step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
200,0,11880785510400,2.77447,2.53567,25.62
400,50,38257085644800,2.51684,2.47179,52.19
600,100,64633385779200,2.43722,2.39325,78.73
800,103,77383902167040,2.3628,2.4994,103.54
1000,150,102890471424000,2.18831,2.11807,130.53
1200,150,114771256934400,2.08523,2.03712,155.35
1400,200,141147557068800,1.99643,1.97181,183.17
1600,200,153028342579200,1.93252,1.92707,207.88
1800,200,164909128089600,1.89056,1.89713,233.18
2000,200,176789913600000,1.85686,1.87081,257.89
2200,205,190120250572800,1.81977,1.85267,282.77
2400,250,215046999244800,1.78109,1.81893,309.22
2600,250,226927784755200,1.75557,1.79662,334.52
2800,250,238808570265600,1.73127,1.78067,359.23
3000,250,250689355776000,1.70446,1.77245,383.97
3200,250,262570141286400,1.68801,1.75588,407.97
3400,250,274450926796800,1.6761,1.74963,438.55
3600,250,286331712307200,1.65915,1.73494,468.08
3800,250,298212497817600,1.65185,1.72074,497.6
4000,300,324588797952000,1.63707,1.70985,524.97
4200,300,336469583462400,1.62255,1.70266,550.4
4400,300,348350368972800,1.61248,1.69945,575.12
4600,300,360231154483200,1.60831,1.68989,599.86
4800,300,372111939993600,1.60233,1.68362,624.58
5000,300,383992725504000,1.59862,1.68385,649.79
5200,300,395873511014400,1.59229,1.6814,674.75
5400,300,407754296524800,1.58562,1.67482,699.57
5600,300,419635082035200,1.76221,1.6743,724.32
5800,300,431515867545600,1.70832,1.64126,749.39
6000,350,457892167680000,1.68033,1.61954,776.16
6200,350,469772953190400,1.65922,1.60547,800.86
6400,350,481653738700800,1.64461,1.59437,825.71
6600,350,493534524211200,1.63394,1.58546,850.5
6800,350,505415309721600,1.62652,1.58004,875.73
7000,350,517296095232000,1.62065,1.57446,900.45
7200,350,529176880742400,1.61387,1.56792,922.28
7400,350,541057666252800,1.60759,1.56686,942.39
7600,350,552938451763200,1.60484,1.56328,962.35
7800,350,564819237273600,1.60281,1.55845,982.34
8000,350,576700022784000,1.60405,1.55769,1002.34
8200,400,603076322918400,1.59726,1.55558,1024.01
8400,400,614957108428800,1.59651,1.55351,1044.02
8600,400,626837893939200,1.5974,1.55102,1064.25
8800,400,638718679449600,1.58961,1.55095,1084.26
9000,400,650599464960000,1.59198,1.54981,1104.27
9200,400,662480250470400,1.58987,1.54983,1124.28
9400,400,674361035980800,1.58941,1.55003,1144.31
9600,400,686241821491200,1.59311,1.5498,1164.57
9800,400,698122607001600,1.59049,1.54949,1184.61
10000,400,710003392512000,1.58861,1.5495,1204.62
