step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14850981888000,2.63419,2.51421,16.54
500,52,44777298984960,2.47809,2.45549,34.52
750,100,73543974912000,2.3789,2.31121,52.37
1000,150,102890471424000,2.18831,2.11807,70.27
1250,150,117741453312000,2.06581,2.02317,86.6
1500,200,147087949824000,1.96024,1.953,104.5
1750,200,161938931712000,1.89965,1.90274,120.84
2000,200,176789913600000,1.85686,1.87081,137.18
2250,250,206136410112000,1.81117,1.84102,160.1
2500,250,220987392000000,1.76342,1.80694,182.43
2750,250,235838373888000,1.73919,1.7853,204.77
3000,250,250689355776000,1.70446,1.77245,227.09
3250,250,265540337664000,1.68276,1.75124,243.16
3500,250,280391319552000,1.66248,1.73859,265.55
3750,250,295242301440000,1.65306,1.72591,288.43
4000,300,324588797952000,1.63707,1.70985,312.46
4250,300,339439779840000,1.622,1.70014,334.81
4500,300,354290761728000,1.60977,1.69278,357.16
4750,300,369141743616000,1.60351,1.68998,379.52
5000,300,383992725504000,1.59862,1.68385,401.87
5250,300,398843707392000,1.7416,1.6642,424.22
5500,300,413694689280000,1.69165,1.63212,446.59
5750,300,428545671168000,1.6655,1.61237,468.94
6000,350,457892167680000,1.64697,1.59474,493.0
6250,350,472743149568000,1.63208,1.5819,515.36
6500,350,487594131456000,1.61938,1.57136,537.71
6750,350,502445113344000,1.61017,1.56678,560.05
7000,350,517296095232000,1.60435,1.56137,582.57
7250,350,532147077120000,1.59828,1.55593,605.33
7500,350,546998059008000,1.5935,1.55341,627.7
7750,350,561849040896000,1.58883,1.55068,650.06
8000,350,576700022784000,1.59152,1.54719,672.41
8250,400,606046519296000,1.58558,1.54378,696.47
8500,400,620897501184000,1.5841,1.54327,718.83
8750,400,635748483072000,1.57986,1.54131,741.17
9000,400,650599464960000,1.58055,1.54021,763.53
9250,400,665450446848000,1.57908,1.54054,785.89
9500,400,680301428736000,1.57934,1.54017,808.25
9750,400,695152410624000,1.57976,1.53999,830.61
10000,400,710003392512000,1.5772,1.53999,852.96
