step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,25,21947744256000,2.60619,2.51222,6.99
500,50,43895488512000,2.48289,2.45788,13.81
750,75,65843232768000,2.40111,2.32295,20.64
1000,100,87790977024000,2.21957,2.15308,27.49
1250,125,109738721280000,2.10958,2.08588,34.32
1500,150,131686465536000,2.0345,2.02758,41.18
1750,175,153634209792000,1.94943,1.94461,48.03
2000,200,175581954048000,1.88888,1.9031,54.88
2250,225,197529698304000,1.84265,1.87681,61.73
2500,250,219477442560000,1.80981,1.85736,68.58
2750,275,241425186816000,1.79046,1.8406,75.45
3000,300,263372931072000,1.76924,1.83352,82.29
3250,325,285320675328000,1.75716,1.82364,89.14
3500,350,307268419584000,1.74653,1.82199,96.0
3750,375,329216163840000,1.74362,1.81414,102.86
4000,400,351163908096000,1.73904,1.81136,109.71
4250,425,373111652352000,1.73609,1.80904,116.55
4500,450,395059396608000,1.73072,1.80998,123.4
4750,475,417007140864000,1.73209,1.80891,130.25
5000,500,438954885120000,1.73464,1.80899,137.1
