step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14797504512000,2.62774,2.51277,6.29
500,0,29595009024000,2.49336,2.47369,12.44
750,0,44392513536000,2.43192,2.37591,18.59
1000,0,59190018048000,2.2704,2.17385,24.74
1250,0,73987522560000,2.15424,2.08925,30.89
1500,0,88785027072000,2.05775,2.00521,37.05
1750,0,103582531584000,1.96792,1.9295,43.21
2000,0,118380036096000,1.90347,1.90245,49.37
2250,0,133177540608000,1.85281,1.87989,55.53
2500,0,147975045120000,1.8078,1.85742,61.69
2750,0,162772549632000,1.77711,1.83746,67.85
3000,0,177570054144000,1.75889,1.82903,74.04
3250,0,192367558656000,1.74672,1.81979,80.22
3500,0,207165063168000,1.73202,1.81145,86.4
3750,0,221962567680000,1.72368,1.80821,92.57
4000,0,236760072192000,1.71424,1.8003,98.74
4250,0,251557576704000,1.70238,1.79366,104.91
4500,0,266355081216000,1.7011,1.78948,111.1
4750,0,281152585728000,1.69447,1.79069,117.26
5000,0,295950090240000,1.68939,1.78055,123.44
5250,0,310747594752000,1.68478,1.779,129.61
5500,0,325545099264000,2.23068,2.06101,135.8
5750,0,340342603776000,1.89275,1.80399,141.96
6000,0,355140108288000,1.79037,1.71763,148.13
6250,0,369937612800000,1.73865,1.67175,154.29
6500,0,384735117312000,1.69905,1.64018,160.47
6750,0,399532621824000,1.671,1.61659,166.64
7000,0,414330126336000,1.65549,1.59936,172.8
7250,0,429127630848000,1.64682,1.58377,178.97
7500,0,443925135360000,1.62961,1.57599,185.13
7750,0,458722639872000,1.62656,1.57152,191.29
8000,0,473520144384000,1.61148,1.56519,197.45
8250,0,488317648896000,1.60778,1.55924,203.62
8500,0,503115153408000,1.60228,1.55742,209.78
8750,0,517912657920000,1.60792,1.55391,215.95
9000,0,532710162432000,1.59871,1.55334,222.11
9250,0,547507666944000,1.60246,1.55187,228.26
9500,0,562305171456000,1.59229,1.55142,234.42
9750,0,577102675968000,1.60226,1.55116,240.58
10000,0,591900180480000,1.59901,1.55111,246.73
