step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59979,2.49265,7.64
500,100,58391003136000,2.45005,2.42713,15.14
750,150,87586504704000,2.34845,2.28516,22.65
1000,150,102286491648000,2.20322,2.14246,28.8
1250,200,131481993216000,2.05257,2.02858,36.31
1500,205,147631531622400,1.96878,1.97414,42.62
1750,250,175377481728000,1.88514,1.90863,50.02
2000,300,204572983296000,1.83585,1.86576,57.53
2250,300,219272970240000,1.78351,1.83608,63.69
2500,350,248468471808000,1.7506,1.81247,71.23
2750,350,263168458752000,1.73195,1.79679,77.39
3000,400,292363960320000,1.70821,1.78302,84.91
3250,400,307063947264000,1.69621,1.77081,91.08
3500,450,336259448832000,1.68218,1.76686,98.6
3750,460,353858538700800,1.68005,1.76121,105.04
4000,500,380154937344000,1.67381,1.75446,112.29
4250,550,409350438912000,1.671,1.75143,119.81
4500,550,424050425856000,1.66476,1.75126,125.97
4750,600,453245927424000,1.66535,1.75025,133.49
5000,600,467945914368000,1.66817,1.75028,139.67
