step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59893,2.49189,7.64
500,100,58391003136000,2.45857,2.44537,15.15
750,150,87586504704000,2.37283,2.33071,22.65
1000,150,102286491648000,2.26466,2.19088,28.8
1250,200,131481993216000,2.10929,2.06495,36.33
1500,205,147631531622400,2.02708,2.00216,42.63
1750,250,175377481728000,1.93685,1.92879,50.01
2000,300,204572983296000,1.87993,1.88855,57.53
2250,300,219272970240000,1.81944,1.85436,63.71
2500,350,248468471808000,1.78582,1.82719,71.24
2750,350,263168458752000,1.75918,1.80893,77.41
3000,400,292363960320000,1.73421,1.79256,84.96
3250,400,307063947264000,1.72226,1.78118,91.14
3500,450,336259448832000,1.70605,1.77211,98.68
3750,460,353858538700800,1.69771,1.76631,105.11
4000,500,380154937344000,1.69311,1.75901,112.36
4250,550,409350438912000,1.68713,1.75693,119.89
4500,550,424050425856000,1.68659,1.75506,126.06
4750,600,453245927424000,1.68687,1.75572,133.58
5000,600,467945914368000,1.68677,1.75556,139.77
