step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59993,2.49131,7.63
500,154,74046158929920,2.41351,2.4116,16.6
750,300,131073048576000,2.19797,2.12261,26.71
1000,409,177373257400320,2.02514,2.01501,35.81
1250,550,232950595584000,1.89357,1.91671,45.79
1500,664,280700355870720,1.79387,1.84946,55.03
1750,800,334828142592000,1.71718,1.77419,64.87
2000,919,384027454341120,1.65528,1.74078,74.25
2250,1050,436705689600000,1.61413,1.70234,83.97
2500,1174,487354552811520,1.58087,1.68196,93.49
2750,1300,538583236608000,1.55328,1.65102,103.08
3000,1429,590681651281920,1.53337,1.63907,112.73
3250,1550,640460783616000,1.51767,1.62421,122.17
3500,1684,694008749752320,1.50213,1.61702,131.97
3750,1800,742338330624000,1.49371,1.6101,141.26
4000,1939,797335848222720,1.48645,1.60419,151.19
4250,2050,844215877632000,1.47667,1.60007,160.36
4500,2194,900662946693120,1.47698,1.59901,170.42
4750,2300,946093424640000,1.47578,1.59853,179.45
5000,2449,1003990045163520,1.47614,1.59861,189.65
