step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.5944,2.50302,33.86
500,50,43895488512000,2.47918,2.45259,64.41
750,50,58595475456000,2.43711,2.40568,94.97
1000,100,87790977024000,2.27095,2.1686,128.63
1250,100,102490963968000,2.1469,2.08731,159.15
1500,100,117190950912000,2.08363,2.03085,189.68
1750,150,146386452480000,2.00255,1.94973,223.44
2000,150,161086439424000,1.91833,1.91032,254.51
2250,150,175786426368000,1.86774,1.88079,285.05
2500,151,190776323604480,1.83488,1.85963,315.63
2750,200,219681914880000,1.79626,1.83302,349.25
3000,200,234381901824000,1.77802,1.82373,379.84
3250,200,249081888768000,1.76555,1.81694,410.43
3500,250,278277390336000,1.75,1.80337,444.1
3750,250,292977377280000,1.74158,1.80256,474.69
4000,250,307677364224000,1.73512,1.79751,505.27
4250,300,336872865792000,1.72701,1.79357,538.97
4500,300,351572852736000,1.72915,1.79155,566.92
4750,300,366272839680000,1.72747,1.79191,591.43
5000,302,381552647208960,1.72862,1.79197,616.03
