step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,25,21947744256000,2.68297,2.57085,6.98
500,50,43895488512000,2.59749,2.56357,13.79
750,75,65843232768000,2.5783,2.54693,20.59
1000,100,87790977024000,2.53308,2.50257,27.42
1250,125,109738721280000,2.51207,2.49189,34.25
1500,150,131686465536000,2.50802,2.49758,41.07
1750,175,153634209792000,2.49297,2.49017,47.89
2000,200,175581954048000,2.49112,2.49647,54.71
2250,225,197529698304000,2.46442,2.46623,61.54
2500,250,219477442560000,2.45783,2.45649,68.37
2750,275,241425186816000,2.44568,2.45027,75.2
3000,300,263372931072000,2.43395,2.43941,82.03
3250,325,285320675328000,2.42879,2.43129,88.87
3500,350,307268419584000,2.41483,2.41767,95.71
3750,375,329216163840000,2.40439,2.40769,102.54
4000,400,351163908096000,2.39687,2.40254,109.39
4250,425,373111652352000,2.39238,2.39611,116.22
4500,450,395059396608000,2.38816,2.39286,123.06
4750,475,417007140864000,2.38814,2.39221,129.9
5000,500,438954885120000,2.38898,2.39177,136.73
