step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87177560064000,2.51424,2.45555,12.74
500,300,116373061632000,2.41022,2.40405,20.13
750,300,131073048576000,2.39376,2.39923,26.22
1000,300,145773035520000,2.37893,2.3822,32.33
1250,300,160473022464000,2.36245,2.37641,38.44
1500,300,175173009408000,2.34652,2.36838,44.57
1750,300,189872996352000,2.33674,2.36039,50.72
2000,300,204572983296000,2.32748,2.35707,56.88
2250,300,219272970240000,2.31414,2.35086,63.06
2500,300,233972957184000,2.3084,2.34412,69.23
2750,300,248672944128000,2.30536,2.344,75.42
3000,300,263372931072000,2.29601,2.33953,81.6
3250,300,278072918016000,2.29509,2.33186,87.79
3500,300,292772904960000,2.28842,2.32954,93.97
3750,300,307472891904000,2.28391,2.3277,100.15
4000,300,322172878848000,2.28356,2.3267,106.33
4250,300,336872865792000,2.28256,2.32477,115.39
4500,300,351572852736000,2.28092,2.32463,137.76
4750,300,366272839680000,2.28286,2.32536,160.13
5000,300,380972826624000,2.28295,2.32517,183.03
