epoch,step,test_acc,test_loss,wall_s
0,468,0.9139,0.312,0.93
1,936,0.9268,0.2621,1.7
2,1404,0.9344,0.2396,2.47
3,1872,0.9375,0.224,3.24
4,2340,0.9394,0.2154,3.99
5,2808,0.9425,0.2092,4.74
6,3276,0.9441,0.2053,5.51
7,3744,0.9433,0.2049,6.26
8,4212,0.944,0.1987,7.02
9,4680,0.9462,0.1957,7.78
10,5148,0.9469,0.1924,8.57
11,5616,0.9466,0.1958,9.32
12,6084,0.9488,0.1887,10.08
13,6552,0.9485,0.1879,10.84
14,7020,0.9475,0.1879,11.62
15,7488,0.9495,0.1859,12.38
16,7956,0.9474,0.1877,13.14
17,8424,0.9499,0.1856,13.91
18,8892,0.9494,0.1854,14.68
19,9360,0.9489,0.1841,15.42
20,9828,0.9503,0.183,16.17
21,10296,0.9497,0.1839,16.93
22,10764,0.9508,0.1834,17.67
23,11232,0.9503,0.1832,18.43
24,11700,0.9501,0.1822,19.2
25,12168,0.9499,0.1822,19.95
26,12636,0.9501,0.1823,20.72
27,13104,0.95,0.1823,21.49
28,13572,0.9501,0.1822,22.25
29,14040,0.9499,0.1822,23.04
