epoch,step,test_acc,test_loss,wall_s
0,468,0.8928,0.3867,0.98
1,936,0.9076,0.3233,1.78
2,1404,0.9157,0.29,2.57
3,1872,0.9225,0.2786,3.38
4,2340,0.9272,0.2577,4.19
5,2808,0.9291,0.2468,4.99
6,3276,0.9339,0.237,5.81
7,3744,0.9326,0.2309,6.6
8,4212,0.9335,0.2269,7.38
9,4680,0.9392,0.2183,8.17
10,5148,0.9375,0.2168,8.97
11,5616,0.9419,0.2078,9.75
12,6084,0.9424,0.2057,10.53
13,6552,0.9407,0.2043,11.33
14,7020,0.942,0.1997,12.14
15,7488,0.9435,0.1984,12.95
16,7956,0.9449,0.1946,13.75
17,8424,0.9458,0.1928,14.54
18,8892,0.9465,0.1896,15.35
19,9360,0.9461,0.1901,16.13
20,9828,0.9467,0.1878,16.91
21,10296,0.9461,0.1878,17.71
22,10764,0.947,0.1874,18.52
23,11232,0.9475,0.1866,19.33
24,11700,0.947,0.1861,20.12
25,12168,0.9477,0.186,20.92
26,12636,0.9476,0.1854,21.69
27,13104,0.947,0.1852,22.49
28,13572,0.9472,0.1851,23.3
29,14040,0.9468,0.1854,24.08
