epoch,step,test_acc,test_loss,wall_s
0,468,0.9394,0.2178,1.01
1,936,0.9511,0.1668,1.8
2,1404,0.9618,0.1357,2.61
3,1872,0.965,0.1212,3.41
4,2340,0.9687,0.1045,4.25
5,2808,0.9709,0.0986,5.06
6,3276,0.9723,0.0896,5.89
7,3744,0.9739,0.0896,6.69
8,4212,0.977,0.082,7.48
9,4680,0.9744,0.0845,8.28
10,5148,0.9762,0.0783,9.1
11,5616,0.9763,0.0741,9.91
12,6084,0.9765,0.0741,10.69
13,6552,0.9781,0.071,11.49
14,7020,0.9786,0.0708,12.29
15,7488,0.9794,0.0694,13.1
16,7956,0.9792,0.0668,13.92
17,8424,0.9802,0.0655,14.74
18,8892,0.9797,0.0674,15.56
19,9360,0.98,0.065,16.38
20,9828,0.9809,0.0645,17.18
21,10296,0.9799,0.0649,17.98
22,10764,0.9797,0.0663,18.82
23,11232,0.9804,0.0632,19.63
24,11700,0.9807,0.0634,20.45
25,12168,0.9809,0.0642,21.25
26,12636,0.9807,0.0636,22.08
27,13104,0.981,0.0626,22.87
28,13572,0.9808,0.0626,23.67
29,14040,0.9807,0.0625,24.48
