epoch,step,test_acc,test_loss,wall_s
0,468,0.9482,0.1838,0.97
1,936,0.9597,0.1379,1.78
2,1404,0.9686,0.1114,2.6
3,1872,0.9707,0.1014,3.38
4,2340,0.9726,0.0899,4.18
5,2808,0.9745,0.0843,5.0
6,3276,0.9762,0.0779,5.82
7,3744,0.976,0.0783,6.61
8,4212,0.9779,0.072,7.4
9,4680,0.9775,0.072,8.19
10,5148,0.9782,0.0704,9.0
11,5616,0.9794,0.0662,9.79
12,6084,0.9786,0.067,10.61
13,6552,0.9795,0.0642,11.42
14,7020,0.9794,0.0646,12.22
15,7488,0.9794,0.0637,13.0
16,7956,0.9806,0.062,13.78
17,8424,0.98,0.0615,14.58
18,8892,0.9804,0.0621,15.37
19,9360,0.9802,0.0605,16.16
20,9828,0.9808,0.0599,17.0
21,10296,0.9802,0.0615,17.81
22,10764,0.98,0.0625,18.61
23,11232,0.9814,0.0597,19.39
24,11700,0.9812,0.0598,20.19
25,12168,0.9808,0.0605,20.98
26,12636,0.9807,0.0598,21.78
27,13104,0.9808,0.0589,22.6
28,13572,0.9809,0.0591,23.38
29,14040,0.9809,0.059,24.17
