epoch,step,test_acc,test_loss,wall_s
0,468,0.9029,0.3208,0.95
1,936,0.9154,0.2831,1.74
2,1404,0.9324,0.2294,2.53
3,1872,0.9376,0.2076,3.34
4,2340,0.9411,0.1959,4.14
5,2808,0.9492,0.1696,4.92
6,3276,0.9486,0.173,5.72
7,3744,0.9567,0.1488,6.5
8,4212,0.9576,0.1431,7.31
9,4680,0.9584,0.1398,8.08
10,5148,0.9593,0.1349,8.85
11,5616,0.9619,0.1275,9.64
12,6084,0.9628,0.125,10.41
13,6552,0.963,0.1232,11.18
14,7020,0.9656,0.1178,11.98
15,7488,0.965,0.1157,12.77
16,7956,0.9659,0.1164,13.57
17,8424,0.9653,0.1125,14.35
18,8892,0.9667,0.111,15.13
19,9360,0.9666,0.1118,15.94
20,9828,0.9674,0.1092,16.75
21,10296,0.9674,0.1083,17.56
22,10764,0.9673,0.1091,18.35
23,11232,0.9665,0.1077,19.12
24,11700,0.967,0.1079,19.91
25,12168,0.9676,0.108,20.71
26,12636,0.9679,0.1075,21.5
27,13104,0.9683,0.1071,22.31
28,13572,0.9685,0.1068,23.11
29,14040,0.9682,0.1067,23.89
