epoch,step,test_acc,test_loss,wall_s
0,468,0.9041,0.3222,0.97
1,936,0.9232,0.2609,1.78
2,1404,0.9297,0.2303,2.56
3,1872,0.9393,0.2017,3.34
4,2340,0.9456,0.1824,4.11
5,2808,0.9488,0.1716,4.89
6,3276,0.9493,0.162,5.68
7,3744,0.9548,0.1509,6.48
8,4212,0.9545,0.1523,7.26
9,4680,0.9586,0.1389,8.06
10,5148,0.9567,0.1395,8.83
11,5616,0.9593,0.1345,9.62
12,6084,0.962,0.1264,10.39
13,6552,0.9628,0.1255,11.22
14,7020,0.9653,0.1204,12.01
15,7488,0.9642,0.1199,12.8
16,7956,0.9664,0.1162,13.58
17,8424,0.964,0.1174,14.38
18,8892,0.9662,0.1135,15.15
19,9360,0.9663,0.1117,15.92
20,9828,0.967,0.1116,16.7
21,10296,0.9671,0.1106,17.46
22,10764,0.9671,0.1098,18.28
23,11232,0.9683,0.1086,19.07
24,11700,0.9675,0.1088,19.85
25,12168,0.967,0.1089,20.63
26,12636,0.968,0.1075,21.4
27,13104,0.9677,0.1081,22.18
28,13572,0.9679,0.1079,22.97
29,14040,0.9681,0.1076,23.76
