epoch,step,test_acc,test_loss,wall_s
0,468,0.9511,0.1626,2.23
1,936,0.9654,0.1145,4.1
2,1404,0.9664,0.1017,5.91
3,1872,0.9706,0.0933,7.74
4,2340,0.9764,0.0775,9.57
5,2808,0.9773,0.0734,11.47
6,3276,0.9774,0.0753,13.39
7,3744,0.9745,0.075,15.34
8,4212,0.9774,0.0679,17.25
9,4680,0.9787,0.069,19.16
10,5148,0.9821,0.0608,20.91
11,5616,0.9815,0.0617,22.78
12,6084,0.9802,0.0643,24.7
13,6552,0.9816,0.0631,26.62
14,7020,0.9815,0.0636,28.54
15,7488,0.9817,0.0627,30.43
16,7956,0.982,0.0635,32.26
17,8424,0.9827,0.0628,34.15
18,8892,0.9829,0.0632,36.03
19,9360,0.9822,0.0637,37.95
20,9828,0.9816,0.0634,39.87
21,10296,0.9825,0.0651,41.73
22,10764,0.9827,0.0646,43.55
23,11232,0.9827,0.0646,45.36
24,11700,0.9825,0.0653,47.28
25,12168,0.9824,0.0654,49.18
26,12636,0.9827,0.0649,51.08
27,13104,0.9824,0.065,52.9
28,13572,0.9827,0.065,54.84
29,14040,0.9825,0.065,56.67
