epoch,step,test_acc,test_loss,wall_s
0,468,0.9003,0.3361,0.9
1,936,0.9192,0.2814,1.67
2,1404,0.9295,0.2419,2.46
3,1872,0.9314,0.2225,3.26
4,2340,0.9373,0.2099,4.02
5,2808,0.9454,0.1806,4.8
6,3276,0.9494,0.1719,5.57
7,3744,0.9525,0.1606,6.36
8,4212,0.9523,0.1557,7.17
9,4680,0.9558,0.1482,7.96
10,5148,0.9577,0.14,8.77
11,5616,0.96,0.134,9.56
12,6084,0.9604,0.1316,10.35
13,6552,0.9615,0.1287,11.12
14,7020,0.9619,0.124,11.9
15,7488,0.9638,0.1226,12.67
16,7956,0.964,0.1209,13.46
17,8424,0.9637,0.1175,14.24
18,8892,0.9651,0.1168,15.03
19,9360,0.9658,0.116,15.81
20,9828,0.9657,0.1144,16.59
21,10296,0.9658,0.1139,17.37
22,10764,0.9653,0.1146,18.16
23,11232,0.966,0.1128,18.92
24,11700,0.9658,0.1127,19.7
25,12168,0.9661,0.1128,20.48
26,12636,0.9661,0.1122,21.26
27,13104,0.9655,0.1124,22.04
28,13572,0.9657,0.1123,22.8
29,14040,0.966,0.1119,23.59
