epoch,step,test_acc,test_loss,wall_s
0,468,0.8839,0.3734,1.0
1,936,0.9232,0.2653,1.79
2,1404,0.9314,0.2336,2.59
3,1872,0.9422,0.1969,3.37
4,2340,0.9383,0.2037,4.15
5,2808,0.9505,0.1661,4.93
6,3276,0.9535,0.1572,5.72
7,3744,0.9536,0.1503,6.52
8,4212,0.9578,0.1395,7.31
9,4680,0.9583,0.1391,8.09
10,5148,0.9603,0.1288,8.88
11,5616,0.9592,0.1298,9.64
12,6084,0.9636,0.1212,10.42
13,6552,0.963,0.1178,11.18
14,7020,0.9642,0.1158,11.98
15,7488,0.9651,0.115,12.77
16,7956,0.966,0.1136,13.55
17,8424,0.9662,0.1094,14.35
18,8892,0.9648,0.1091,15.12
19,9360,0.9675,0.1068,15.91
20,9828,0.9674,0.1069,16.71
21,10296,0.9675,0.106,17.5
22,10764,0.968,0.1046,18.28
23,11232,0.9674,0.1056,19.07
24,11700,0.9681,0.1042,19.85
25,12168,0.9684,0.1036,20.65
26,12636,0.9685,0.1035,21.44
27,13104,0.9684,0.1041,22.25
28,13572,0.9683,0.1033,23.04
29,14040,0.9682,0.1033,23.85
