epoch,step,test_acc,test_loss,wall_s
0,468,0.905,0.3294,0.99
1,936,0.9174,0.2831,1.76
2,1404,0.9276,0.2427,2.57
3,1872,0.9387,0.2112,3.34
4,2340,0.9445,0.1918,4.1
5,2808,0.9469,0.1794,4.9
6,3276,0.9484,0.1702,5.71
7,3744,0.9531,0.159,6.49
8,4212,0.9542,0.1545,7.27
9,4680,0.9569,0.1469,8.06
10,5148,0.9551,0.1493,8.83
11,5616,0.9585,0.1381,9.6
12,6084,0.9605,0.1333,10.36
13,6552,0.9607,0.1318,11.15
14,7020,0.9613,0.1279,11.94
15,7488,0.9618,0.1259,12.75
16,7956,0.9636,0.1231,13.53
17,8424,0.9635,0.1209,14.3
18,8892,0.9642,0.1196,15.08
19,9360,0.964,0.1185,15.85
20,9828,0.9638,0.1184,16.66
21,10296,0.965,0.117,17.49
22,10764,0.965,0.1162,18.28
23,11232,0.9653,0.1159,19.08
24,11700,0.9651,0.1152,19.86
25,12168,0.9652,0.1154,20.64
26,12636,0.9654,0.1146,21.44
27,13104,0.9646,0.1149,22.22
28,13572,0.9655,0.1145,22.99
29,14040,0.965,0.1148,23.77
