epoch,step,test_acc,test_loss,wall_s
0,468,0.9373,0.222,1.01
1,936,0.9518,0.1663,1.82
2,1404,0.9589,0.1397,2.63
3,1872,0.9634,0.1201,3.43
4,2340,0.967,0.1099,4.24
5,2808,0.9715,0.0961,5.06
6,3276,0.9723,0.091,5.85
7,3744,0.9719,0.0902,6.68
8,4212,0.9745,0.0862,7.5
9,4680,0.9778,0.0793,8.3
10,5148,0.9768,0.0763,9.13
11,5616,0.9766,0.0777,9.94
12,6084,0.9781,0.0718,10.75
13,6552,0.9775,0.0707,11.57
14,7020,0.9787,0.0689,12.37
15,7488,0.9788,0.0691,13.17
16,7956,0.979,0.0686,14.0
17,8424,0.9798,0.0655,14.81
18,8892,0.9798,0.0651,15.64
19,9360,0.9799,0.0641,16.46
20,9828,0.9801,0.0647,17.26
21,10296,0.9801,0.0631,18.07
22,10764,0.98,0.063,18.91
23,11232,0.9796,0.0627,19.71
24,11700,0.981,0.0618,20.5
25,12168,0.9803,0.0623,21.31
26,12636,0.9807,0.0615,22.12
27,13104,0.9805,0.0621,22.95
28,13572,0.9809,0.0614,23.76
29,14040,0.9806,0.0617,24.61
