epoch,step,test_acc,test_loss,wall_s
0,468,0.9456,0.1832,0.97
1,936,0.9593,0.134,1.76
2,1404,0.9666,0.1151,2.58
3,1872,0.9704,0.0983,3.4
4,2340,0.9725,0.0912,4.22
5,2808,0.9746,0.0837,5.03
6,3276,0.9762,0.0791,5.83
7,3744,0.975,0.0811,6.64
8,4212,0.9763,0.0766,7.44
9,4680,0.9791,0.0705,8.24
10,5148,0.9782,0.0694,9.03
11,5616,0.9778,0.0708,9.85
12,6084,0.9791,0.0657,10.65
13,6552,0.9801,0.0648,11.47
14,7020,0.9798,0.0623,12.28
15,7488,0.9803,0.0627,13.07
16,7956,0.9806,0.0636,13.87
17,8424,0.9804,0.0629,14.67
18,8892,0.9809,0.061,15.47
19,9360,0.9809,0.0611,16.22
20,9828,0.9806,0.0612,17.03
21,10296,0.9818,0.0592,17.83
22,10764,0.9817,0.0588,18.63
23,11232,0.9813,0.0593,19.43
24,11700,0.9822,0.0589,20.22
25,12168,0.9813,0.0591,21.03
26,12636,0.9819,0.0582,21.84
27,13104,0.9816,0.0585,22.66
28,13572,0.982,0.0583,23.46
29,14040,0.9821,0.0582,24.27
