epoch,step,test_acc,test_loss,wall_s
0,468,0.907,0.3469,1.0
1,936,0.92,0.2856,1.81
2,1404,0.9291,0.2562,2.65
3,1872,0.9357,0.229,3.45
4,2340,0.9412,0.2091,4.25
5,2808,0.9465,0.1921,5.07
6,3276,0.9481,0.1781,5.87
7,3744,0.9518,0.1675,6.68
8,4212,0.9548,0.1571,7.53
9,4680,0.9574,0.1504,8.35
10,5148,0.9596,0.141,9.18
11,5616,0.9605,0.1378,9.96
12,6084,0.9627,0.131,10.77
13,6552,0.9628,0.1268,11.57
14,7020,0.9648,0.1232,12.38
15,7488,0.9656,0.1211,13.18
16,7956,0.966,0.1198,13.98
17,8424,0.9664,0.1161,14.8
18,8892,0.9667,0.1148,15.57
19,9360,0.9681,0.1127,16.39
20,9828,0.9684,0.111,17.2
21,10296,0.9676,0.1114,18.02
22,10764,0.9685,0.1092,18.84
23,11232,0.9687,0.1097,19.65
24,11700,0.9692,0.1087,20.46
25,12168,0.9691,0.1079,21.27
26,12636,0.9691,0.1078,22.09
27,13104,0.9692,0.1079,22.89
28,13572,0.969,0.1077,23.72
29,14040,0.9692,0.1076,24.52
