epoch,step,test_acc,test_loss,wall_s
0,468,0.918,0.3181,0.9
1,936,0.93,0.2672,1.67
2,1404,0.9309,0.2488,2.45
3,1872,0.9368,0.2333,3.21
4,2340,0.9379,0.2266,3.98
5,2808,0.9402,0.2174,4.74
6,3276,0.9397,0.2134,5.52
7,3744,0.9417,0.2099,6.3
8,4212,0.9428,0.2042,7.04
9,4680,0.9452,0.2027,7.78
10,5148,0.9445,0.1996,8.55
11,5616,0.9456,0.1987,9.33
12,6084,0.9449,0.1961,10.09
13,6552,0.9459,0.1958,10.84
14,7020,0.9464,0.1943,11.63
15,7488,0.9454,0.1945,12.42
16,7956,0.9473,0.1934,13.19
17,8424,0.9473,0.192,13.97
18,8892,0.9473,0.192,14.76
19,9360,0.9477,0.1909,15.53
20,9828,0.9473,0.1909,16.3
21,10296,0.947,0.1901,17.07
22,10764,0.9481,0.1899,17.82
23,11232,0.9478,0.1898,18.56
24,11700,0.9479,0.1895,19.34
25,12168,0.9474,0.1894,20.1
26,12636,0.9471,0.1896,20.86
27,13104,0.9474,0.1893,21.62
28,13572,0.9472,0.1892,22.38
29,14040,0.9472,0.1892,23.15
