epoch,step,test_acc,test_loss,wall_s
0,468,0.9551,0.1617,0.99
1,936,0.9631,0.1224,1.79
2,1404,0.9696,0.1018,2.62
3,1872,0.9724,0.0928,3.42
4,2340,0.9734,0.0833,4.21
5,2808,0.9752,0.0789,5.07
6,3276,0.9778,0.0726,5.87
7,3744,0.9777,0.0755,6.67
8,4212,0.9793,0.0692,7.46
9,4680,0.9793,0.0683,8.29
10,5148,0.9789,0.0679,9.1
11,5616,0.9803,0.0645,9.9
12,6084,0.9799,0.0657,10.71
13,6552,0.9815,0.0628,11.5
14,7020,0.9806,0.0633,12.3
15,7488,0.9805,0.0624,13.09
16,7956,0.9812,0.0607,13.9
17,8424,0.981,0.0598,14.72
18,8892,0.9819,0.0603,15.52
19,9360,0.9813,0.0593,16.33
20,9828,0.9818,0.059,17.17
21,10296,0.9822,0.0592,17.98
22,10764,0.9805,0.0611,18.78
23,11232,0.982,0.0583,19.57
24,11700,0.9823,0.0587,20.38
25,12168,0.9824,0.0588,21.2
26,12636,0.9815,0.059,22.01
27,13104,0.9823,0.058,22.79
28,13572,0.9818,0.0581,23.6
29,14040,0.9817,0.058,24.4
