epoch,step,test_acc,test_loss,wall_s
0,468,0.8942,0.3453,0.94
1,936,0.921,0.2619,1.7
2,1404,0.9288,0.238,2.47
3,1872,0.9389,0.2038,3.27
4,2340,0.9422,0.1953,4.06
5,2808,0.9495,0.1698,4.86
6,3276,0.9515,0.1602,5.62
7,3744,0.9509,0.1567,6.41
8,4212,0.9565,0.1448,7.2
9,4680,0.9581,0.1414,7.98
10,5148,0.9572,0.135,8.77
11,5616,0.957,0.1375,9.54
12,6084,0.962,0.1257,10.31
13,6552,0.9623,0.1231,11.08
14,7020,0.9618,0.1217,11.86
15,7488,0.9635,0.1189,12.67
16,7956,0.9644,0.1171,13.48
17,8424,0.9654,0.1131,14.27
18,8892,0.965,0.1142,15.08
19,9360,0.9669,0.1129,15.85
20,9828,0.9663,0.1119,16.65
21,10296,0.9667,0.1112,17.44
22,10764,0.9674,0.1092,18.24
23,11232,0.9669,0.1116,19.06
24,11700,0.9674,0.1096,19.83
25,12168,0.9669,0.1102,20.63
26,12636,0.9672,0.1087,21.44
27,13104,0.9678,0.1096,22.24
28,13572,0.9668,0.1086,23.01
29,14040,0.967,0.1085,23.8
