epoch,step,test_acc,test_loss,wall_s
0,468,0.9659,0.1087,0.96
1,936,0.9773,0.0778,1.72
2,1404,0.9757,0.0825,2.46
3,1872,0.9764,0.078,3.23
4,2340,0.9765,0.0858,4.0
5,2808,0.9799,0.0723,4.75
6,3276,0.9792,0.0698,5.51
7,3744,0.9811,0.0812,6.29
8,4212,0.9846,0.0621,7.04
9,4680,0.9839,0.0607,7.81
10,5148,0.986,0.0557,8.58
11,5616,0.9868,0.0526,9.35
12,6084,0.9868,0.0529,10.13
13,6552,0.9868,0.0516,10.89
14,7020,0.9868,0.0517,11.67
15,7488,0.9868,0.0509,12.42
16,7956,0.9867,0.0505,13.18
17,8424,0.9869,0.0504,13.97
18,8892,0.9867,0.0501,14.73
19,9360,0.9869,0.0499,15.54
20,9828,0.9868,0.0497,16.32
21,10296,0.987,0.0495,17.1
22,10764,0.9866,0.0494,17.88
23,11232,0.9868,0.0495,18.63
24,11700,0.9869,0.0492,19.39
25,12168,0.9868,0.0492,20.15
26,12636,0.9868,0.0491,20.9
27,13104,0.9868,0.0491,21.67
28,13572,0.9868,0.0491,22.42
29,14040,0.9868,0.0491,23.18
