epoch,step,test_acc,test_loss,wall_s
0,468,0.9623,0.117,0.91
1,936,0.9759,0.0825,1.68
2,1404,0.9756,0.0854,2.46
3,1872,0.9767,0.0789,3.22
4,2340,0.9803,0.0784,3.99
5,2808,0.9792,0.0796,4.76
6,3276,0.9812,0.0673,5.52
7,3744,0.9847,0.0594,6.28
8,4212,0.9843,0.0599,7.04
9,4680,0.9835,0.0627,7.8
10,5148,0.9858,0.0565,8.58
11,5616,0.9863,0.0553,9.37
12,6084,0.9865,0.0538,10.13
13,6552,0.9863,0.0532,10.91
14,7020,0.9865,0.0518,11.69
15,7488,0.9863,0.0517,12.48
16,7956,0.9864,0.051,13.26
17,8424,0.9865,0.0509,14.03
18,8892,0.9864,0.0507,14.8
19,9360,0.9861,0.0504,15.57
20,9828,0.9865,0.0501,16.36
21,10296,0.9864,0.0501,17.12
22,10764,0.9866,0.05,17.89
23,11232,0.9863,0.0498,18.64
24,11700,0.9863,0.0498,19.41
25,12168,0.986,0.0498,20.17
26,12636,0.986,0.0498,20.93
27,13104,0.9861,0.0498,21.69
28,13572,0.9861,0.0498,22.46
29,14040,0.9862,0.0498,23.22
