epoch,step,test_acc,test_loss,wall_s
0,468,0.909,0.3203,0.99
1,936,0.9191,0.2735,1.75
2,1404,0.9291,0.2314,2.53
3,1872,0.9401,0.2034,3.31
4,2340,0.9459,0.181,4.1
5,2808,0.95,0.1675,4.88
6,3276,0.9547,0.1535,5.66
7,3744,0.9572,0.1457,6.43
8,4212,0.9583,0.142,7.2
9,4680,0.9606,0.1344,7.98
10,5148,0.9592,0.1364,8.77
11,5616,0.9612,0.1279,9.55
12,6084,0.9631,0.1229,10.33
13,6552,0.965,0.1207,11.1
14,7020,0.9662,0.1162,11.91
15,7488,0.9649,0.117,12.69
16,7956,0.9663,0.1146,13.51
17,8424,0.9671,0.1117,14.29
18,8892,0.9671,0.109,15.06
19,9360,0.9675,0.1098,15.84
20,9828,0.9673,0.1078,16.62
21,10296,0.9667,0.1074,17.41
22,10764,0.9676,0.1071,18.18
23,11232,0.9686,0.1078,18.97
24,11700,0.968,0.106,19.78
25,12168,0.969,0.1054,20.55
26,12636,0.9687,0.1058,21.33
27,13104,0.968,0.1062,22.13
28,13572,0.9684,0.1049,22.92
29,14040,0.9688,0.1055,23.76
