epoch,step,test_acc,test_loss,wall_s
0,468,0.8941,0.3877,0.96
1,936,0.9089,0.3205,1.73
2,1404,0.9157,0.295,2.51
3,1872,0.9228,0.2782,3.31
4,2340,0.9246,0.2626,4.07
5,2808,0.9314,0.2418,4.83
6,3276,0.9341,0.2357,5.63
7,3744,0.9344,0.229,6.45
8,4212,0.9381,0.2196,7.24
9,4680,0.9369,0.2172,8.03
10,5148,0.941,0.2092,8.8
11,5616,0.9424,0.2052,9.58
12,6084,0.943,0.201,10.38
13,6552,0.9445,0.198,11.19
14,7020,0.945,0.1954,11.98
15,7488,0.9464,0.1946,12.77
16,7956,0.9463,0.192,13.56
17,8424,0.9459,0.1888,14.33
18,8892,0.9466,0.1883,15.11
19,9360,0.9481,0.186,15.89
20,9828,0.9484,0.186,16.68
21,10296,0.9479,0.1841,17.44
22,10764,0.9485,0.1838,18.26
23,11232,0.9481,0.183,19.05
24,11700,0.9484,0.1829,19.86
25,12168,0.9486,0.1818,20.64
26,12636,0.9486,0.182,21.44
27,13104,0.9489,0.1821,22.21
28,13572,0.949,0.1818,22.98
29,14040,0.9492,0.1816,23.76
