epoch,step,test_acc,test_loss,wall_s
0,468,0.9496,0.1745,0.99
1,936,0.9628,0.1242,1.79
2,1404,0.9702,0.1009,2.6
3,1872,0.9715,0.0961,3.43
4,2340,0.9743,0.0859,4.22
5,2808,0.9754,0.0826,5.05
6,3276,0.9785,0.0751,5.83
7,3744,0.9782,0.0715,6.63
8,4212,0.979,0.0688,7.46
9,4680,0.98,0.0674,8.3
10,5148,0.9787,0.0684,9.1
11,5616,0.9809,0.0643,9.89
12,6084,0.9809,0.0624,10.71
13,6552,0.9799,0.0624,11.53
14,7020,0.98,0.064,12.33
15,7488,0.9807,0.0616,13.14
16,7956,0.9819,0.0596,13.95
17,8424,0.982,0.0605,14.74
18,8892,0.9818,0.0594,15.53
19,9360,0.9817,0.06,16.32
20,9828,0.9823,0.0577,17.13
21,10296,0.9815,0.0591,17.92
22,10764,0.9816,0.0585,18.74
23,11232,0.9819,0.0581,19.53
24,11700,0.9821,0.0569,20.33
25,12168,0.9818,0.0581,21.15
26,12636,0.9816,0.0578,21.96
27,13104,0.9814,0.0581,22.77
28,13572,0.9818,0.0574,23.6
29,14040,0.9816,0.0575,24.41
