epoch,step,test_acc,test_loss,wall_s
0,468,0.3148,4.9442,2.45
1,936,0.3195,2.0418,4.62
2,1404,0.1804,10.2919,6.77
3,1872,0.2853,2.5222,8.94
4,2340,0.319,4.7062,11.08
5,2808,0.1912,2.9685,13.11
6,3276,0.1742,15.3181,15.3
7,3744,0.247,15.9453,17.43
8,4212,0.3499,2.3102,19.55
9,4680,0.4096,4.1476,21.64
10,5148,0.2935,10.1005,23.74
11,5616,0.3941,3.6057,25.85
12,6084,0.3756,4.0698,27.95
13,6552,0.2417,7.1304,30.01
14,7020,0.3123,8.3616,32.1
15,7488,0.2446,27.6427,34.24
16,7956,0.2611,9.5784,36.37
17,8424,0.3259,17.349,38.53
18,8892,0.3549,14.0745,40.5
19,9360,0.3146,7.2772,42.6
20,9828,0.4097,2.0547,44.73
21,10296,0.3522,8.3634,46.85
22,10764,0.3677,5.3549,48.97
23,11232,0.2451,7.8361,51.1
24,11700,0.274,4.7916,53.15
25,12168,0.3168,3.5183,55.3
26,12636,0.3704,2.5525,57.43
27,13104,0.3204,2.891,59.6
28,13572,0.4371,2.0164,61.74
29,14040,0.4364,1.7813,63.83
