epoch,step,test_acc,test_loss,wall_s
0,468,0.2948,77.6635,2.0
1,936,0.1593,72.3764,3.51
2,1404,0.159,54.8986,4.45
3,1872,0.138,55.7463,5.38
4,2340,0.12,44.9791,7.1
5,2808,0.261,55.9015,8.99
6,3276,0.2868,68.2579,10.78
7,3744,0.2193,49.0327,12.64
8,4212,0.2662,67.6833,14.43
9,4680,0.3708,71.9369,16.26
10,5148,0.2284,43.088,18.11
11,5616,0.1808,79.784,19.79
12,6084,0.3932,50.7749,21.6
13,6552,0.3353,62.6837,23.46
14,7020,0.2501,66.5501,25.34
15,7488,0.2755,43.9988,27.17
16,7956,0.3587,55.5665,28.94
17,8424,0.3306,49.879,30.73
18,8892,0.1859,67.938,32.45
19,9360,0.3767,44.2799,34.21
20,9828,0.3288,140.0851,36.02
21,10296,0.5719,34.8901,37.82
22,10764,0.7205,9.0734,39.61
23,11232,0.7144,10.5543,41.38
24,11700,0.7302,4.7592,43.17
25,12168,0.8028,3.1736,45.04
26,12636,0.775,3.7527,46.67
27,13104,0.8365,2.4079,48.47
28,13572,0.8,2.7931,50.28
29,14040,0.8082,2.5223,52.18
