epoch,step,test_acc,test_loss,wall_s
0,468,0.3232,2.3167,1.04
1,936,0.453,1.7628,1.84
2,1404,0.3744,1.7979,2.63
3,1872,0.4387,2.0814,3.45
4,2340,0.3558,2.1518,4.25
5,2808,0.4099,2.1919,5.04
6,3276,0.3758,2.5416,5.86
7,3744,0.4136,1.8618,6.67
8,4212,0.3828,2.9412,7.48
9,4680,0.3425,2.1474,8.29
10,5148,0.3077,2.6614,9.11
11,5616,0.4055,1.6752,9.93
12,6084,0.3829,3.0213,10.73
13,6552,0.3469,2.2669,11.54
14,7020,0.4854,2.0109,12.34
15,7488,0.3427,2.899,13.14
16,7956,0.4934,1.6852,13.94
17,8424,0.5323,1.8763,14.75
18,8892,0.4286,2.5362,15.55
19,9360,0.533,1.4386,16.36
20,9828,0.5348,1.3969,17.16
21,10296,0.55,1.426,17.97
22,10764,0.5512,1.2671,18.77
23,11232,0.5732,1.2303,19.56
24,11700,0.5826,1.217,20.38
25,12168,0.5681,1.2097,21.23
26,12636,0.5804,1.212,22.06
27,13104,0.5735,1.2162,22.87
28,13572,0.4723,1.4474,23.67
29,14040,0.5298,1.278,24.46
