epoch,step,test_acc,test_loss,wall_s
0,468,0.3222,1.9348,1.24
1,936,0.2558,2.0033,2.26
2,1404,0.2288,5.8772,3.34
3,1872,0.2311,3.3051,4.4
4,2340,0.2466,2.4363,5.44
5,2808,0.3039,6.2478,6.5
6,3276,0.3739,2.2336,7.56
7,3744,0.2413,3.6533,8.55
8,4212,0.2834,4.0759,9.6
9,4680,0.1906,4.0453,10.66
10,5148,0.2596,2.4893,11.72
11,5616,0.269,4.7019,12.75
12,6084,0.2241,6.5111,13.83
13,6552,0.1561,75.4335,14.87
14,7020,0.1521,109.3411,15.93
15,7488,0.1435,92.2046,17.01
16,7956,0.1749,243.226,18.06
17,8424,0.0919,141.4247,19.1
18,8892,0.1247,136.1503,20.11
19,9360,0.1385,91.7993,21.21
20,9828,0.1717,129.5419,22.29
21,10296,0.1507,137.7124,23.87
22,10764,0.2265,80.525,25.86
23,11232,0.2192,40.6291,27.78
24,11700,0.1103,109.4236,29.77
25,12168,0.177,35.9041,31.76
26,12636,0.2496,17.58,33.68
27,13104,0.188,17.0962,35.58
28,13572,0.2391,19.2525,37.7
29,14040,0.2396,13.1929,40.32
