epoch,step,test_acc,test_loss,wall_s
0,468,0.904,0.3374,0.98
1,936,0.9226,0.2714,1.76
2,1404,0.925,0.2545,2.57
3,1872,0.9358,0.2219,3.35
4,2340,0.9352,0.2117,4.13
5,2808,0.948,0.1765,4.92
6,3276,0.9499,0.1708,5.76
7,3744,0.9517,0.1611,6.55
8,4212,0.9563,0.1493,7.35
9,4680,0.9568,0.1463,8.14
10,5148,0.9564,0.1406,8.93
11,5616,0.9597,0.1373,9.73
12,6084,0.9606,0.1327,10.52
13,6552,0.9613,0.1268,11.33
14,7020,0.962,0.1269,12.13
15,7488,0.9626,0.1246,12.91
16,7956,0.9641,0.1217,13.72
17,8424,0.9643,0.1181,14.49
18,8892,0.9643,0.1178,15.27
19,9360,0.9651,0.1157,16.09
20,9828,0.9651,0.1153,16.86
21,10296,0.9656,0.1143,17.66
22,10764,0.9666,0.113,18.44
23,11232,0.9657,0.1137,19.23
24,11700,0.9662,0.1125,20.01
25,12168,0.9672,0.112,20.83
26,12636,0.9668,0.112,21.61
27,13104,0.967,0.1121,22.4
28,13572,0.9669,0.1116,23.19
29,14040,0.967,0.1116,23.97
