epoch,step,test_acc,test_loss,wall_s
0,468,0.9528,0.1571,1.22
1,936,0.964,0.1192,2.23
2,1404,0.9718,0.0893,3.22
3,1872,0.9698,0.0928,4.19
4,2340,0.9766,0.0749,5.19
5,2808,0.9759,0.0779,6.2
6,3276,0.9774,0.0697,7.21
7,3744,0.9797,0.0687,8.21
8,4212,0.9779,0.0672,9.2
9,4680,0.9801,0.0667,10.21
10,5148,0.9813,0.0672,11.21
11,5616,0.9809,0.0664,12.23
12,6084,0.9821,0.0646,13.2
13,6552,0.982,0.066,14.18
14,7020,0.982,0.0692,15.17
15,7488,0.9829,0.0647,16.18
16,7956,0.9826,0.0659,17.15
17,8424,0.9832,0.0663,18.12
18,8892,0.9831,0.0671,19.15
19,9360,0.9836,0.0667,20.16
20,9828,0.9835,0.0666,21.14
21,10296,0.9832,0.0677,22.14
22,10764,0.9836,0.0678,23.14
23,11232,0.9831,0.0685,24.11
24,11700,0.9832,0.0686,25.09
25,12168,0.9831,0.0689,26.09
26,12636,0.984,0.0681,27.08
27,13104,0.9836,0.0691,28.09
28,13572,0.9836,0.0688,29.07
29,14040,0.9833,0.0687,30.04
