epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,8,30978605056,1.8681,0.3469,1.8137,0.8
1,780,16,61957210112,1.74609,0.375,1.7379,1.47
2,1170,24,92935815168,1.70935,0.3873,1.6995,2.17
3,1560,32,123914420224,1.74557,0.3698,1.7331,2.86
4,1950,39,154356154368,1.72302,0.3826,1.7161,3.52
5,2340,47,185334759424,1.71978,0.3989,1.6938,4.19
6,2730,55,216313364480,1.70055,0.3796,1.7018,4.85
7,3120,63,247291969536,1.70736,0.3989,1.6807,5.5
8,3510,71,278270574592,1.70307,0.3782,1.7313,6.16
9,3900,78,308712308736,1.7259,0.3798,1.7253,6.85
10,4290,86,339690913792,1.75241,0.372,1.7507,7.55
11,4680,94,370669518848,1.70558,0.3918,1.6953,8.22
12,5070,102,401648123904,1.70344,0.3754,1.7173,8.94
13,5460,110,432626728960,1.69835,0.4046,1.6537,9.61
14,5850,117,463068463104,1.66977,0.4021,1.6518,10.24
15,6240,125,494047068160,1.65752,0.4044,1.6564,10.89
16,6630,133,525025673216,1.65126,0.4119,1.6345,11.58
17,7020,141,556004278272,1.66477,0.4264,1.6202,12.24
18,7410,149,586982883328,1.65469,0.4185,1.6218,12.89
19,7800,156,617424617472,1.63752,0.3983,1.7004,13.54
20,8190,164,648403222528,1.63533,0.4176,1.6424,14.19
21,8580,172,679381827584,1.65185,0.3951,1.6665,14.89
22,8970,180,710360432640,1.63784,0.4091,1.6768,15.58
23,9360,188,741339037696,1.6295,0.4099,1.6372,16.25
24,9750,195,771780771840,1.61048,0.4155,1.6353,16.95
25,10140,203,802759376896,1.60781,0.4137,1.6158,17.64
26,10530,211,833737981952,1.60981,0.4208,1.6202,18.33
27,10920,219,864716587008,1.60097,0.4161,1.6374,18.98
28,11310,227,895695192064,1.61144,0.4149,1.6221,19.64
29,11700,234,926136926208,1.60096,0.4232,1.6113,20.35
