epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,100,80370728960,1.69539,0.4251,1.614,0.85
1,780,150,133897912320,1.55482,0.4591,1.522,1.56
2,1170,200,187425095680,1.50042,0.4669,1.4925,2.25
3,1560,200,214108733440,1.44013,0.4798,1.4565,2.93
4,1950,250,267635916800,1.4842,0.4805,1.4655,3.65
5,2340,250,294319554560,1.38344,0.491,1.4468,4.36
6,2730,250,321003192320,1.38289,0.4855,1.4342,5.04
7,3120,250,347686830080,1.36445,0.5001,1.4088,5.73
8,3510,250,374370467840,1.32149,0.4931,1.4324,6.43
9,3900,300,427897651200,1.38408,0.5057,1.4119,7.13
10,4290,300,454581288960,1.32833,0.5022,1.4107,7.81
11,4680,300,481264926720,1.30613,0.502,1.405,8.5
12,5070,300,507948564480,1.29371,0.5063,1.4009,9.18
13,5460,300,534632202240,1.28081,0.4979,1.4098,9.89
14,5850,350,588159385600,1.37349,0.4981,1.42,10.58
15,6240,350,614843023360,1.30116,0.5025,1.3965,11.26
16,6630,350,641526661120,1.28401,0.5,1.3973,11.91
17,7020,350,668210298880,1.26994,0.502,1.4067,12.55
18,7410,350,694893936640,1.247,0.505,1.3975,13.2
19,7800,400,748421120000,1.35542,0.4897,1.4318,13.89
20,8190,400,775104757760,1.28863,0.4943,1.4189,14.58
21,8580,400,801788395520,1.26547,0.4983,1.4013,15.24
22,8970,400,828472033280,1.23536,0.5089,1.3949,15.87
23,9360,400,855155671040,1.22529,0.5096,1.4022,16.54
24,9750,409,886671147008,1.22978,0.4858,1.4902,17.25
25,10140,450,935366492160,1.30366,0.4991,1.4125,17.91
26,10530,450,962050129920,1.24883,0.503,1.4119,18.59
27,10920,450,988733767680,1.23447,0.5052,1.4122,19.25
28,11310,450,1015417405440,1.20604,0.5078,1.3994,19.89
29,11700,450,1042101043200,1.20951,0.5103,1.3887,20.53
