epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,0,26683637760,1.90212,0.3351,1.8614,0.79
1,780,50,80210821120,1.64816,0.4193,1.615,1.44
2,1170,100,133738004480,1.56191,0.4399,1.5603,2.11
3,1560,150,187265187840,1.5348,0.4543,1.525,2.8
4,1950,200,240792371200,1.48274,0.4687,1.483,3.45
5,2340,245,291635200000,1.47299,0.452,1.5555,4.1
6,2730,250,321003192320,1.39824,0.4819,1.4368,4.74
7,3120,250,347686830080,1.36425,0.488,1.4186,5.43
8,3510,300,401214013440,1.41004,0.4865,1.4318,6.1
9,3900,300,427897651200,1.35017,0.4921,1.4247,6.76
10,4290,300,454581288960,1.34149,0.4944,1.4089,7.42
11,4680,300,481264926720,1.29498,0.5024,1.3949,8.12
12,5070,350,534792110080,1.38926,0.4859,1.4419,8.82
13,5460,350,561475747840,1.3216,0.4974,1.4148,9.48
14,5850,350,588159385600,1.31038,0.5006,1.4014,10.16
15,6240,350,614843023360,1.28851,0.5005,1.4034,10.81
16,6630,350,641526661120,1.26141,0.5013,1.3935,11.49
17,7020,378,683242684416,1.33153,0.4525,1.5281,12.18
18,7410,400,721737482240,1.32489,0.5032,1.3993,12.87
19,7800,400,748421120000,1.27094,0.4981,1.3899,13.54
20,8190,400,775104757760,1.24991,0.4973,1.395,14.22
21,8580,400,801788395520,1.2227,0.5082,1.3872,14.89
22,8970,400,828472033280,1.24135,0.5039,1.3811,15.56
23,9360,450,881999216640,1.3391,0.4957,1.4176,16.22
24,9750,450,908682854400,1.2688,0.5063,1.3785,16.89
25,10140,450,935366492160,1.24233,0.5062,1.3953,17.61
26,10530,450,962050129920,1.22649,0.5121,1.3742,18.3
27,10920,450,988733767680,1.22109,0.5093,1.3906,18.98
28,11310,500,1042260951040,1.32005,0.4918,1.4264,19.66
29,11700,500,1068944588800,1.2641,0.5078,1.394,20.32
