epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,50,51816693760,1.73909,0.3798,1.7232,0.85
1,780,150,128766443520,1.61201,0.4375,1.567,1.52
2,1170,200,180583137280,1.503,0.4602,1.5078,2.17
3,1560,250,232399831040,1.48278,0.4664,1.5047,2.84
4,1950,250,259083468800,1.41649,0.4782,1.4513,3.49
5,2340,296,308889518080,1.45315,0.4633,1.5463,4.17
6,2730,300,337583800320,1.39074,0.4947,1.4244,4.84
7,3120,300,364267438080,1.37186,0.4884,1.4265,5.49
8,3510,300,390951075840,1.36541,0.4902,1.4199,6.16
9,3900,300,417634713600,1.34816,0.4874,1.4474,6.82
10,4290,350,469451407360,1.3945,0.4867,1.4342,7.51
11,4680,350,496135045120,1.32152,0.4895,1.4338,8.16
12,5070,350,522818682880,1.33161,0.4972,1.4192,8.83
13,5460,350,549502320640,1.32299,0.4927,1.4186,9.45
14,5850,350,576185958400,1.313,0.5033,1.4087,10.14
15,6240,400,628002652160,1.38971,0.4871,1.4357,10.81
16,6630,400,654686289920,1.30213,0.5012,1.4094,11.45
17,7020,400,681369927680,1.31109,0.5088,1.408,12.09
18,7410,400,708053565440,1.30795,0.4995,1.4093,12.77
19,7800,400,734737203200,1.28597,0.497,1.3968,13.46
20,8190,400,761420840960,1.26204,0.4966,1.4102,14.16
21,8580,450,813237534720,1.3337,0.4922,1.4289,14.83
22,8970,450,839921172480,1.30899,0.4919,1.4118,15.5
23,9360,450,866604810240,1.30513,0.5058,1.4038,16.19
24,9750,450,893288448000,1.28486,0.5094,1.3929,16.88
25,10140,450,919972085760,1.26858,0.5064,1.4099,17.56
26,10530,500,971788779520,1.34675,0.4936,1.4334,18.22
27,10920,500,998472417280,1.30079,0.5015,1.4229,18.87
28,11310,500,1025156055040,1.27518,0.5036,1.4057,19.59
29,11700,500,1051839692800,1.26835,0.5068,1.4173,20.24
