epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,78,68559568896,1.79426,0.3654,1.7485,0.8
1,780,156,137119137792,1.79912,0.3509,1.7618,1.46
2,1170,234,205678706688,1.71555,0.3953,1.6987,2.22
3,1560,312,274238275584,1.62405,0.4378,1.5896,2.89
4,1950,390,342797844480,1.56914,0.4437,1.5686,3.56
5,2340,468,411357413376,1.52855,0.4434,1.5532,4.22
6,2730,546,479916982272,1.53053,0.4485,1.5284,4.89
7,3120,624,548476551168,1.46326,0.4676,1.4966,5.58
8,3510,702,617036120064,1.41866,0.4757,1.4684,6.26
9,3900,780,685595688960,1.42715,0.4662,1.4884,6.91
10,4290,858,754155257856,1.38831,0.4893,1.4479,7.6
11,4680,936,822714826752,1.36681,0.4903,1.442,8.26
12,5070,1014,891274395648,1.32483,0.4945,1.4201,8.95
13,5460,1092,959833964544,1.29459,0.5001,1.4102,9.62
14,5850,1170,1028393533440,1.31188,0.5005,1.3984,10.27
15,6240,1248,1096953102336,1.27346,0.5099,1.3881,10.98
16,6630,1326,1165512671232,1.26437,0.505,1.3932,11.65
17,7020,1404,1234072240128,1.22677,0.5183,1.3776,12.33
18,7410,1482,1302631809024,1.20518,0.519,1.3963,13.01
19,7800,1560,1371191377920,1.20533,0.5189,1.3832,13.67
20,8190,1638,1439750946816,1.17238,0.5227,1.3594,14.38
21,8580,1716,1508310515712,1.15899,0.5172,1.3654,15.05
22,8970,1794,1576870084608,1.12717,0.5306,1.3557,15.72
23,9360,1872,1645429653504,1.12481,0.5238,1.3858,16.4
24,9750,1950,1713989222400,1.11552,0.5231,1.3744,17.07
25,10140,2028,1782548791296,1.07952,0.529,1.3616,17.77
26,10530,2106,1851108360192,1.05695,0.5341,1.3665,18.45
27,10920,2184,1919667929088,1.05558,0.5304,1.3773,19.15
28,11310,2262,1988227497984,1.0207,0.5327,1.3803,19.84
29,11700,2340,2056787066880,1.02752,0.5308,1.3832,20.52
