epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,50,53527183360,1.80004,0.3645,1.7563,0.81
1,780,50,80210821120,1.73036,0.3646,1.771,1.48
2,1170,100,133738004480,1.7306,0.4058,1.665,2.13
3,1560,100,160421642240,1.61553,0.4246,1.6044,2.76
4,1950,100,187105280000,1.5907,0.4388,1.5793,3.4
5,2340,150,240632463360,1.57541,0.4513,1.5532,4.04
6,2730,150,267316101120,1.50552,0.4604,1.5105,4.73
7,3120,150,293999738880,1.47931,0.4656,1.5167,5.37
8,3510,200,347526922240,1.48491,0.4666,1.4899,6.04
9,3900,200,374210560000,1.44634,0.4731,1.473,6.73
10,4290,200,400894197760,1.44513,0.4762,1.4766,7.37
11,4680,250,454421381120,1.45359,0.4748,1.464,8.05
12,5070,250,481105018880,1.39945,0.4833,1.4601,8.76
13,5460,250,507788656640,1.39031,0.4899,1.4398,9.43
14,5850,300,561315840000,1.41775,0.4909,1.4408,10.11
15,6240,300,587999477760,1.35233,0.4883,1.4431,10.74
16,6630,330,630789242880,1.38803,0.4467,1.5406,11.38
17,7020,350,668210298880,1.37925,0.4885,1.4383,12.02
18,7410,350,694893936640,1.34172,0.4957,1.4272,12.68
19,7800,400,748421120000,1.40311,0.4875,1.4458,13.36
20,8190,400,775104757760,1.33108,0.4948,1.4206,14.02
21,8580,400,801788395520,1.32336,0.4978,1.4254,14.68
22,8970,450,855315578880,1.37729,0.4886,1.4392,15.35
23,9360,450,881999216640,1.30847,0.5008,1.4174,16.03
24,9750,450,908682854400,1.27463,0.5071,1.4106,16.69
25,10140,500,962210037760,1.35339,0.4978,1.4274,17.35
26,10530,500,988893675520,1.29044,0.5002,1.4065,17.99
27,10920,500,1015577313280,1.26385,0.4998,1.4138,18.65
28,11310,550,1069104496640,1.33724,0.5032,1.4081,19.33
29,11700,550,1095788134400,1.27435,0.5061,1.4051,19.97
